Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,31,36
S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,45,12
S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,59,24
S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,57,36
S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,14,12
S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,12,24
S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,43,36
S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,2,12
S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,29,24
S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170106T102712_20170106T102739_014710_017F03_BA36.zip,S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,8,36
S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,31,12
S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,6,24
S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170118T102712_20170118T102739_014885_018473_7D7A.zip,S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,11,36
S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,37,12
S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,42,24
S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170130T102712_20170130T102739_015060_0189C8_C8B7.zip,S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9.zip,54,36
S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,5,12
S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9.zip,17,24
S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170211T102711_20170211T102738_015235_018F3E_DA5E.zip,S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B.zip,49,36
S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9.zip,12,12
S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B.zip,54,24
S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170223T102711_20170223T102738_015410_0194A7_B160.zip,S1A_IW_SLC__1SDV_20170331T102723_20170331T102751_015935_01A45A_F26D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170331T102723_20170331T102751_015935_01A45A_F26D.zip,38,36
S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170307T102711_20170307T102738_015585_0199F1_CEF9.zip,S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170319T102723_20170319T102750_015760_019F24_525B.zip,66,12
